Flora e Funga do Brasil ID,Família,Nome Científico,Categoria de Risco,Ano de Avaliação,Houve Reavaliação,Ficha de Avaliação
10119,Moraceae,Dorstenia bonijesu Carauta & C.Valente,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/10119
101176,Fabaceae,Swartzia submarginata (Benth.) Mansano,LC,2023,Não,https://dados.cncflora.jbrj.gov.br/ficha/101176
101191,Fabaceae,Zollernia glaziovii Yakovlev,EN,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/101191
101192,Fabaceae,Zollernia cowanii Mansano,CR,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/101192
10121,Moraceae,Dorstenia brevipetiolata C.C.Berg,DD,2017,Não,https://dados.cncflora.jbrj.gov.br/ficha/10121
101151,Fabaceae,Machaerium ternatum Kuhlm. & Hoehne,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101151
101247,Clusiaceae,Clusia amabilis Maguire,LC,2023,Não,https://dados.cncflora.jbrj.gov.br/ficha/101247
10124,Moraceae,Dorstenia cayapia Vell.,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/10124
101254,Clusiaceae,Clusia drouetiana L.B.Sm.,VU,2023,Não,https://dados.cncflora.jbrj.gov.br/ficha/101254
10125,Moraceae,Dorstenia conceptionis Carauta,EN,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/10125
10126,Moraceae,Dorstenia contensis Carauta & C.C.Berg,VU,2014,Não,https://dados.cncflora.jbrj.gov.br/ficha/10126
101257,Clusiaceae,Clusia gardneri Planch. & Triana,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101257
101282,Calophyllaceae,Haploclathra grandiflora Aspl.,DD,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/101282
10134,Moraceae,Dorstenia tenuis Bonpl. ex Bureau,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/10134
10127,Moraceae,Dorstenia elata Hook.,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/10127
10139,Moraceae,Ficus bahiensis C.C.Berg & Carauta,LC,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/10139
101393,Vochysiaceae,Callisthene kuhlmannii H.F.Martins,EN,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/101393
101401,Malpighiaceae,Diplopterys amplectens (B.Gates) W.R.Anderson & C.C.Davis,NT,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101401
101409,Malpighiaceae,Banisteriopsis byssacea B.Gates,VU,2014,Não,https://dados.cncflora.jbrj.gov.br/ficha/101409
101403,Malpighiaceae,Diplopterys cachimbensis (B.Gates) W.R.Anderson & C.C.Davis,NT,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101403
101413,Cactaceae,Arrojadoa eriocaulis Buining & Brederoo,EN,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/101413
101411,Primulaceae,Myrsine hermogenesii (Jung-Mend. & Bernacci) M.F.Freitas & Kin.-Gouv.,LC,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/101411
10142,Moraceae,Ficus duartei C.C.Berg & Carauta,EN,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/10142
101425,Primulaceae,Myrsine luae Ricketson & Pipoly,DD,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/101425
101428,Malpighiaceae,Pterandra viridiflora C.E.Anderson,DD,2014,Não,https://dados.cncflora.jbrj.gov.br/ficha/101428
101427,Malpighiaceae,Thryallis laburnum S.Moore,VU,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101427
101430,Malpighiaceae,Peixotoa andersonii C.E.Anderson,CR,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101430
101431,Malpighiaceae,Peixotoa axillaris C.E.Anderson,CR,2014,Não,https://dados.cncflora.jbrj.gov.br/ficha/101431
